isin,instrument_name,dividend_type,scheme_type,plan
INF00XX01135,ITI Multi Cap Fund,growth,Equity,regular
INF00XX01143,ITI Multi Cap Fund,idcw-payout,Equity,regular
INF00XX01168,ITI Multi Cap Fund - Direct Plan,growth,Equity,direct
INF00XX01176,ITI Multi Cap Fund - Direct Plan,idcw-payout,Equity,direct
INF00XX01192,ITI Liquid Fund,growth,Debt,regular
INF00XX01267,ITI Liquid Fund,idcw-payout,Debt,regular
INF00XX01275,ITI Liquid Fund,idcw-payout,Debt,regular
INF00XX01283,ITI Liquid Fund - Direct Plan,growth,Debt,direct
INF00XX01358,ITI Liquid Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01366,ITI Liquid Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01374,ITI ELSS Tax Saver Fund,growth,Equity,regular
INF00XX01382,ITI ELSS Tax Saver Fund,idcw-payout,Equity,regular
INF00XX01390,ITI ELSS Tax Saver Fund - Direct Plan,growth,Equity,direct
INF00XX01408,ITI ELSS Tax Saver Fund - Direct Plan,idcw-payout,Equity,direct
INF00XX01416,ITI Arbitrage Fund,growth,Hybrid,regular
INF00XX01424,ITI Arbitrage Fund,idcw-payout,Hybrid,regular
INF00XX01440,ITI Arbitrage Fund - Direct Plan,growth,Hybrid,direct
INF00XX01457,ITI Arbitrage Fund - Direct Plan,idcw-payout,Hybrid,direct
INF00XX01473,ITI Overnight Fund,growth,Debt,regular
INF00XX01549,ITI Overnight Fund,idcw-payout,Debt,regular
INF00XX01556,ITI Overnight Fund,idcw-payout,Debt,regular
INF00XX01564,ITI Overnight Fund - Direct Plan,growth,Debt,direct
INF00XX01630,ITI Overnight Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01648,ITI Overnight Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01655,ITI Balanced Advantage Fund,growth,Hybrid,regular
INF00XX01663,ITI Balanced Advantage Fund,idcw-payout,Hybrid,regular
INF00XX01689,ITI Balanced Advantage Fund - Direct Plan,growth,Hybrid,direct
INF00XX01697,ITI Balanced Advantage Fund - Direct Plan,idcw-payout,Hybrid,direct
INF00XX01713,ITI Small Cap Fund,growth,Equity,regular
INF00XX01721,ITI Small Cap Fund,idcw-payout,Equity,regular
INF00XX01747,ITI Small Cap Fund - Direct Plan,growth,Equity,direct
INF00XX01754,ITI Small Cap Fund - Direct Plan,idcw-payout,Equity,direct
INF00XX01770,ITI Large Cap Fund,growth,Equity,regular
INF00XX01788,ITI Large Cap Fund,idcw-payout,Equity,regular
INF00XX01804,ITI Large Cap Fund - Direct Plan,growth,Equity,direct
INF00XX01812,ITI Large Cap Fund - Direct Plan,idcw-payout,Equity,direct
INF00XX01838,ITI Banking & PSU Debt Fund,growth,Debt,regular
INF00XX01846,ITI Banking & PSU Debt Fund,idcw-payout,Debt,regular
INF00XX01861,ITI Banking & PSU Debt Fund - Direct Plan,growth,Debt,direct
INF00XX01879,ITI Banking & PSU Debt Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01895,ITI Mid Cap Fund,growth,Equity,regular
INF00XX01903,ITI Mid Cap Fund,idcw-payout,Equity,regular
INF00XX01929,ITI Mid Cap Fund - Direct Plan,growth,Equity,direct
INF00XX01937,ITI Mid Cap Fund - Direct Plan,idcw-payout,Equity,direct
INF00XX01952,ITI Ultra Short Duration Fund,growth,Debt,regular
INF00XX01AC6,ITI Ultra Short Duration Fund,idcw-payout,Debt,regular
INF00XX01AD4,ITI Ultra Short Duration Fund,idcw-payout,Debt,regular
INF00XX01AE2,ITI Ultra Short Duration Fund - Direct Plan,growth,Debt,direct
INF00XX01AL7,ITI Ultra Short Duration Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01AM5,ITI Ultra Short Duration Fund - Direct Plan,idcw-payout,Debt,direct
INF00XX01AN3,ITI Value Fund,growth,Equity,regular
INF00XX01AO1,ITI Value Fund,idcw-payout,Equity,regular
INF00XX01AQ6,ITI Value Fund - Direct Plan,growth,Equity,direct
INF00XX01AR4,ITI Value Fund - Direct Plan,idcw-payout,Equity,direct
INF00XX01AT0,ITI Dynamic Bond Fund,growth,Debt,regular
INF00XX01AY0,ITI Dynamic Bond Fund,idcw-payout,Debt,regular
INF00XX01AZ7,ITI Dynamic Bond Fund,idcw-payout,Debt,regular
